FROM NW,FROM RANK
acquired immune deficiency syndrome,DEFICIENCY ANAEMIA
pneumonia primary atypical,IDIOPATHIC PNEUMONIA SYNDROME
cystic acne,ACNE
body tinea,TINNITUS
coccidioidomycosis,MYDRIASIS
humerus fracture,OSTEOPOROTIC FRACTURE
volvulus,VAGINISMUS
Neuromuscular Disorder,MUSCLE TWITCHING
primary biliary cirrhosis,BILIARY TRACT DISORDER
colon polypectomy,COLONIC OBSTRUCTION
Alcoholic intoxication,SUBSTANCE ABUSE
food allergy,EYE ALLERGY
ovulation pain,PELVIC PAIN
hirsuitism,HIRSUTISM
Burns Second Degree,BURNING SENSATION
kidney transplant,KIDNEY INFECTION
fracture nonunion,OSTEOPOROTIC FRACTURE
gallbladder perforation,GALLBLADDER POLYP
hyperacusia,HYPOGEUSIA
Fatty stools,MUCOUS STOOLS
epidural hematoma,SUBDURAL HAEMATOMA
food intolerance,TEMPERATURE INTOLERANCE
mycosis fungoides,MYDRIASIS
Anisocoria,ANORGASMIA
thyroid cyst,DERMAL CYST
hypoaldosteronism,HYPOMANIA
coronary angioplasty,ANGIOEDEMA
hyperphosphatemia,HYPOSMIA
agnosia,ACHOLIA
esophageal rupture,OESOPHAGEAL PAIN
food poisoning,VOMITING
heat stroke,HEAT RASH
Salivary Gland Calculus,SALIVA ALTERED
foreign body in eye,EYE PAIN
myoma,MYDRIASIS
testes pain,TESTICULAR PAIN
periarteritis nodosa,SKIN NODULE
Diphtheria,DIPLOPIA
premature separation of placenta,PLACENTAL DISORDER
adrenal carcinoma,ADRENAL DISORDER
trichomoniasis,TRICHORRHEXIS
tinea versicolor,TINEA PEDIS
lagophthalmos,LARYNGOSPASM
abortion missed,UNINTENDED PREGNANCY
Viral rash NOS,RASH SCALY
gastric stasis,GASTRIC DISORDER
thyroidectomy,THYROID FUNCTION TEST ABNORMAL
bulimia,BINGE EATING
hypermetropia,HYPERACUSIS
Corneal clouding,CORNEAL STAINING
adenoid hypertrophy,SKIN HYPERTROPHY
cervical polyp,NASAL POLYPS
Bicuspid Aortic Valve,AORTIC BRUIT
pityriasis,PITYRIASIS LICHENOIDES ET VARIOLIFORMIS ACUTA
pneumonectomy,PNEUMOTHORAX
cavernous sinus thrombosis,SINUSITIS
Seasonal Affective Disorder,MOOD SWINGS
brachial neuritis,NEURITIS
transurethral resection of the prostate,NEOPLASM PROSTATE
faecal impaction,FAECES DISCOLOURED
hematospermia,ANAEMIA
Pertussis,EYE PRURITUS
IgA nephropathy,NEPHRITIS INTERSTITIAL
rhabdomyosarcoma,RHABDOMYOLYSIS
orchiectomy,ORTHOPNOEA
CYSTO,CYST
hemophilia B,NEUTROPHILIA
gonorrhea,GOUT
otosclerosis,OTITIS MEDIA ACUTE
erythremia,ANAEMIA
Masculinization,MENINGISM
Typhoid,CUSHINGOID
skin abrasion,SKIN WRINKLING
cervical stenosis,BLADDER STENOSIS
traumatic amputation,POST-TRAUMATIC PAIN
Vasomotor Rhinitis,RHINITIS
Acromegaly,CARDIOMEGALY
anthrax,ARTHRALGIA
septic abortion,ABORTION SPONTANEOUS
splinter,SPLINTER HAEMORRHAGES
estrogen replacement,OESTROGEN DEFICIENCY
rabies,RALES
