FROM NW,FROM RANK
Infection Upper Respiratory,UPPER RESPIRATORY TRACT INFLAMMATION
sick sinus syndrome,SINUSITIS
pharyngeal inflammation,PHARYNGITIS
adenoma,ADENOMA BENIGN
epilepsy,MYOCLONIC EPILEPSY
tachycardia ventricular,ATRIAL TACHYCARDIA
hypernatraemia,HYPERAEMIA
streptococcal infection,PHARYNGITIS STREPTOCOCCAL
colitis,COLITIS MICROSCOPIC
duodenal ulcer haemorrhage,DUODENAL ULCER
polymyositis,MYOSITIS
Bacteraemia,BACTERIURIA
onychomycosis,ONYCHOCLASIS
carcinoma of the colon,COLORECTAL CANCER
traumatic arthropathy,ARTHROPATHY
myocarditis,ALLERGIC MYOCARDITIS
endocarditis,ENDOCARDITIS BACTERIAL
Atrioventricular block complete,ATRIOVENTRICULAR BLOCK FIRST DEGREE
ventricular fibrillation,CARDIAC FIBRILLATION
ischaemia,PERIPHERAL ISCHAEMIA
cirrhosis,ACANTHOSIS
pulmonary arrest,RESPIRATORY ARREST
haematemesis,HAEMATOSPERMIA
granuloma,GRANULOMA SKIN
Salmonella,SALMONELLOSIS
insulin dependent diabetes mellitus,DIABETES MELLITUS
hepatitis toxic,HEPATITIS
Sinus headache,SINUS CONGESTION
diverticulitis,DIVERTICULUM
dermatitis exfoliative,SKIN EXFOLIATION
distended bladder,BLADDER DISCOMFORT
pancreatitis relapsing,PANCREATITIS
Thrombophlebitis,THROMBOPHLEBITIS SUPERFICIAL
nasal septal perforation,NASAL SEPTUM DISORDER
Abnormal Laboratory Findings,LABORATORY TEST ABNORMAL
duodenal ulcer perforation,DUODENAL ULCER
gouty arthritis,GOUT
Supraventricular tachycardia,TACHYCARDIA
haemorrhage intracranial,CEREBRAL HAEMORRHAGE
major depression,DEPRESSION
lymphoma,T-CELL LYMPHOMA
Stress incontinence,URGE INCONTINENCE
bone fracture,OSTEOPOROTIC FRACTURE
nodule,SKIN NODULE
cyst,DERMAL CYST
Abdominal hernia,HERNIA
excessive salivation,SALIVARY HYPERSECRETION
right heart failure,CARDIAC FAILURE
cancer,CARCINOMA
soft tissue injuries,SOFT TISSUE NECROSIS
colitis pseudomembranous,PSEUDOMEMBRANOUS COLITIS
premature menopause,MENOPAUSAL DISORDER
psoriasis,RASH PSORIAFORM
contact dermatitis,DERMATITIS
blepharoptosis,BLEPHAROSPASM
dermatitis seborrheic,SEBORRHOEIC DERMATITIS
candidiasis of vagina,CANDIDIASIS
Spinal Compression Fracture,COMPRESSION FRACTURE
cerebral ischaemia,ISCHAEMIA
eyelid diseases,EYELID PAIN
gastric ulcer,ULCER
periodontitis,PERIODONTAL DISEASE
actinic keratosis,KERATOSIS PILARIS
choking,CHOKING SENSATION
dyshidrosis,HYPERHIDROSIS
aortic stenosis,VASCULAR STENOSIS
Glossitis,ATROPHIC GLOSSITIS
bacterial pneumonia,PNEUMONIA
pancreatic cancer,PANCREATIC DISORDER
liver abscess,ABSCESS
cutaneous ulcer,SKIN ULCER
face pain,FACIAL PAIN
atrioventricular block,ATRIOVENTRICULAR BLOCK FIRST DEGREE
Eustachian tube disorder,EUSTACHIAN TUBE DYSFUNCTION
acute sinusitis,SINUSITIS
injury of neck,NECK PAIN
Pharyngitis Streptococcal,PHARYNGITIS
Nephrogenic diabetes insipidus,DIABETES INSIPIDUS
Diabetic neuropathy,NEUROPATHY
brain neoplasm,BRAIN NEOPLASM BENIGN
hair disease,HAIR DISORDER
Interstitial nephritis,NEPHRITIS INTERSTITIAL
allergic vasculitis,VASCULITIS
toxic shock,TOXIC SHOCK SYNDROME
dermoid cyst,DERMAL CYST
essential hypertension,HYPERTENSION
tetralogy of Fallot,FALLOTS TETRALOGY
congenital heart disease,HEART DISEASE CONGENITAL
colon neoplasm,GASTROINTESTINAL NEOPLASM
Carcinoma of Prostate,NEOPLASM PROSTATE
Breast disorder,NIPPLE DISORDER
disseminated lupus erythematosus,SYSTEMIC LUPUS ERYTHEMATOSUS RASH
breast tenderness,BREAST DISCOMFORT
Disorder Peripheral Vascular,PERIPHERAL VASCULAR DISORDER
Detached retina,RETINAL DETACHMENT
eosinophilic pneumonia,EOSINOPHILIA
Chest wall pain,CHEST DISCOMFORT
eye injury,EYE PAIN
eczema,ECZEMA ASTEATOTIC
tracheostomy,TRACHEITIS
bone sarcoma,SARCOMA
mediastinal tumor,MEDIASTINAL DISORDER
Hepatitis C,HEPATITIS C ANTIBODY POSITIVE
eye infection,EYE PAIN
hematoma subdural,SUBDURAL HAEMATOMA
cerebral artery embolism,EMBOLISM ARTERIAL
malignant hypertension,HYPERTENSION
acute otitis media,OTITIS MEDIA ACUTE
Nodule Skin,SKIN NODULE
atrophy of skin,SKIN ATROPHY
adenomyosis,ADENOCARCINOMA
kidney pain,RENAL PAIN
hyperuricaemia,HYPERURICOSURIA
atypical mycobacterial infection,MYCOBACTERIAL INFECTION
Disorder Retinal,EYE DISORDER
thyroid disease,THYROID DISORDER
aortic aneurysm,AORTIC DISORDER
hyperaesthesia,DYSAESTHESIA
bronchiectasis,BRONCHITIS
encephalopathy hypertensive,HYPERTENSIVE ENCEPHALOPATHY
anaemia hypochromic,HYPOCHROMIC ANAEMIA
cerebellar ataxia,ATAXIA
autonomic neuropathy,NEUROPATHY
corneal disorder,CORNEAL SCAR
polymyalgia rheumatica,POLYMYALGIA
diaphragmatic hernia,HERNIA
lymphedema,LYMPHADENITIS
pleural fibrosis,PLEURAL DISORDER
temporal arteritis,ARTERITIS
fecal occult blood,FAECAL OCCULT BLOOD POSITIVE
cholecystitis acute,CHOLECYSTITIS CHRONIC
tendon injury,TENDON PAIN
Prinzmetal variant angina,PRINZMETAL ANGINA
serum sickness,SERUM SICKNESS-LIKE REACTION
Anemia aplastic,APLASTIC ANAEMIA
synovial cyst,CYST
Papilloma,SKIN PAPILLOMA
retinopathy hypertensive,RETINOPATHY
Ovarian cancer,OVARIAN DISORDER
lung adenocarcinoma,LUNG NEOPLASM
Gastric Cancer,GASTROINTESTINAL CARCINOMA
tinea,TINEA PEDIS
intestinal ulcer,ULCER
Cutaneous mycosis,SYSTEMIC MYCOSIS
Pneumocystis carinii infection,PNEUMOCYSTIS CARINII PNEUMONIA
anosmia,ANORGASMIA
abnormal cervical smear,SMEAR CERVIX ABNORMAL
incisional hernia,ABDOMINAL HERNIA
abnormal mammogram,MAMMOGRAM ABNORMAL
Hernia Inguinal,HERNIA
meningioma,MENINGIOMA BENIGN
peritoneal adhesions,PELVIC PERITONEAL ADHESIONS
hepatic encephalopathy,ENCEPHALOPATHY
Dyspnoea paroxysmal nocturnal,NOCTURNAL DYSPNOEA
Corneal dystrophy,CORNEAL DISORDER
Aseptic meningitis,MENINGITIS BACTERIAL
Irritation Skin,SKIN IRRITATION
Bradyarrhythmia,TACHYARRHYTHMIA
epidural abscess,EXTRADURAL ABSCESS
swollen scrotum,SCROTAL SWELLING
bladder cancer,BLADDER NEOPLASM
quadriplegia,QUADRIPARESIS
Bone marrow fibrosis,FIBROSIS
bacterial vaginitis,VAGINITIS BACTERIAL
nasal septum disorder,NASAL DISORDER
carcinoma of the cervix,CERVIX DISORDER
Gastric ulcer perforated,GASTROINTESTINAL ULCER
platelet disorder,PLATELET AGGREGATION ABNORMAL
Rhinitis Seasonal,RHINITIS
allergic alveolitis,ALVEOLITIS ALLERGIC
cutaneous candidiasis,FUNGAL SKIN INFECTION
chronic ulcerative colitis,COLITIS ULCERATIVE
Anal fistula,FISTULA
esophageal cancer,OESOPHAGEAL CARCINOMA
uterine bleeding,UTERINE PAIN
musculoskeletal deformity,DEFORMITY
tonsillitis,ACUTE TONSILLITIS
enterocolitis,ENTERITIS
motor retardation,PSYCHOMOTOR RETARDATION
neuroma,NEUROFIBROMA
chronic hepatitis,HEPATITIS CHRONIC ACTIVE
connective tissue disease,CONNECTIVE TISSUE INFLAMMATION
thyroiditis,THYROID DISORDER
Herpes ophthalmic,HERPES ZOSTER OPHTHALMIC
HIV disease,HIV INFECTION
Endometrial Atrophy,ENDOMETRITIS
hypopituitarism,HYPOMANIA
Menstrual Disorder,MENSTRUATION IRREGULAR
irregular menstrual cycle,MENSTRUATION IRREGULAR
bladder atony,ATONIC URINARY BLADDER
Benign Neoplasm,BENIGN NEOPLASM OF SKIN
Cerebral thrombosis,THROMBOSIS
lung abscess,ABSCESS
kidney neoplasm,RENAL NEOPLASM
diarrhea infectious,VIRAL DIARRHOEA
testicular swelling,TESTICULAR PAIN
status epilepticus,EPILEPSY
chondrocalcinosis pyrophosphate,CHONDROCALCINOSIS
Tracheobronchitis,TRACHEITIS
fibrosing alveolitis,ALVEOLITIS
leukoplakia of mouth,LEUKOPLAKIA ORAL
breast inflammation,BREAST INFECTION
postmenopausal bleeding,POSTMENOPAUSAL HAEMORRHAGE
spinal cord injury,SPINAL CORD DISORDER
conjunctivitis viral,CONJUNCTIVITIS INFECTIVE
alcohol abuse,SUBSTANCE ABUSE
multifocal leukoencephalopathy,LEUKOENCEPHALOPATHY
eustachian tube obstruction,EUSTACHIAN TUBE DYSFUNCTION
global amnesia,AMNESIA
encephalitis viral,ENCEPHALITIS CYTOMEGALOVIRUS
avascular necrosis,VASCULITIS NECROTISING
osteochondrosis,OSTEOSCLEROSIS
fasciitis,PLANTAR FASCIITIS
Breast abscess,ABSCESS
Erythema nodosum,ERYTHEMA
Collagen disease,COLLAGEN DISORDER
colonic obstruction,SMALL INTESTINAL OBSTRUCTION
disorders of lipid metabolism,LIPIDS ABNORMAL
melanosis,MELANODERMIA
gallbladder cancer,GALLBLADDER DISORDER
hemothorax,PNEUMOTHORAX
bacterial endocarditis,ENDOCARDITIS BACTERIAL
Penile swelling,PENILE PAIN
corneal abrasion,CORNEAL DEPOSITS
pigmentary retinopathy,RETINAL PIGMENTATION
night blindness,ACQUIRED NIGHT BLINDNESS
Endometrial hyperplasia,ENDOMETRIAL DISORDER
biliary cirrhosis,HEPATIC CIRRHOSIS
sarcoma,SARCOMA UTERUS
lymphocytosis,LYMPHOCELE
Endometrial cancer,ENDOMETRITIS
polycystic ovary disease,POLYCYSTIC OVARIES
Cystitis Interstitial,CYSTITIS
Bladder Neoplasm,BLADDER DISORDER
viral pneumonia,PNEUMONIA
myelitis,MYOSITIS
anal pruritus,ORAL PRURITUS
osteoma,OSTEOMALACIA
peripheral nerve injury,NEUROPATHY PERIPHERAL
myoclonic epilepsy,BALTIC MYOCLONIC EPILEPSY
ankylosing spondylitis,SPONDYLOSIS
angle closure glaucoma,OPEN ANGLE GLAUCOMA
breast neoplasm,BENIGN BREAST NEOPLASM
osteopetrosis,OSTEODYSTROPHY
thyroid cancer,THYROID DISORDER
chronic active hepatitis,HEPATITIS CHRONIC ACTIVE
depigmentation,SKIN DEPIGMENTATION
vulvovaginitis,VAGINITIS
carcinoid tumour,CARCINOMA
renal cancer,RENAL NEOPLASM
Lymphatic Disorders,LYMPHANGITIS
tonsillectomy,TONSILLITIS
Essential Thrombocythemia,THROMBOCYTOPENIA
varicocele,VARICELLA
alcoholic cirrhosis,HEPATIC CIRRHOSIS
vaginal dysplasia,CERVICAL DYSPLASIA
bone neoplasm,BONE LESION
thyroid adenoma,THYROID DISORDER
eclampsia,PRE-ECLAMPSIA
amblyopia,MYOPIA
Cryptosporidiosis,CRYPTOSPORIDIOSIS INFECTION
bacterial conjunctivitis,CONJUNCTIVITIS INFECTIVE
leukoplakia,LEUKOPLAKIA ORAL
constrictive pericarditis,PERICARDITIS
Cystic Fibrosis,FIBROSIS
chondrodystrophy,CHONDROPATHY
decreased lacrimation,LACRIMATION INCREASED
renovascular hypertension,HYPERTENSION
acute intermittent porphyria,PORPHYRIA ACUTE
oral neoplasm,ORAL NEOPLASM BENIGN
testicular atrophy,TESTICULAR DISORDER
HIV positive,HIV TEST POSITIVE
vulvitis,VULVOVAGINITIS
mast cell disease,MASTITIS
Haemophilia,HAEMOPTYSIS
Tinea Capitis,TINEA INFECTION
infertility,INFERTILITY MALE
genital herpes,ORAL HERPES
familial hypercholesterolemia,HYPERCHOLESTEROLAEMIA
tetanus,TETANY
parasitic infection intestinal,INFECTION PARASITIC
allergic bronchitis,BRONCHITIS
neurofibromatosis,NEUROFIBROMA
urogenital abnormalities,UROGENITAL DISORDER
corneal degeneration,CORNEAL DISORDER
hypogonadotropic hypogonadism,HYPOGONADISM
